id,x,y,0.0,1
27,-5,-8,33.697171,2
26,-5,-12,17.943211,1
21,-9,-10,24.652787,1
30,0,-17,31.615823,2
22,-8,-13,69.419681,3
25,-5,-17,46.018998,2
32,1,-19,66.339246,3
18,-12,-12,13.222719,1
29,-2,-20,36.655909,2
31,1,-21,20.577727,1
14,-16,-13,25.17049,2
17,-12,-23,62.226541,3
27,-5,-8,33.697171,2
26,-5,-12,17.943211,1
21,-9,-10,24.652787,1
30,0,-17,31.615823,2
32,1,-19,66.339246,3
25,-5,-17,46.018998,2
22,-8,-13,69.419681,3
29,-2,-20,36.655909,2
31,1,-21,20.577727,1
18,-12,-12,13.222719,1
14,-16,-13,25.17049,2
24,-5,-25,40.0,2
27,-5,-8,33.697171,2
26,-5,-12,17.943211,1
21,-9,-10,24.652787,1
30,0,-17,31.615823,2
22,-8,-13,69.419681,3
18,-12,-12,13.222719,1
25,-5,-17,46.018998,2
29,-2,-20,36.655909,2
32,1,-19,66.339246,3
31,1,-21,20.577727,1
27,-5,-8,33.697171,2
26,-5,-12,17.943211,1
21,-9,-10,24.652787,1
22,-8,-13,69.419681,3
18,-12,-12,13.222719,1
30,0,-17,31.615823,2
32,1,-19,66.339246,3
25,-5,-17,46.018998,2
31,1,-21,20.577727,1
29,-2,-20,36.655909,2
14,-16,-13,25.17049,2
24,-5,-25,40.0,2
