id,x,y,0.0,1
159,1,18,35.86462,2
168,4,20,13.222719,1
160,1,21,27.122605,2
159,1,18,35.86462,2
168,4,20,13.222719,1
160,1,21,27.122605,2
203,27,26,39.647451,2
198,24,30,44.659915,2
220,32,31,51.923202,3
186,18,27,49.787134,2
224,33,34,26.897196,2
201,26,37,46.813397,2
195,22,34,48.355582,2
182,14,29,63.23629,3
191,20,38,31.895879,2
183,14,38,24.144444,1
175,10,35,40.0,2
172,7,34,70.619317,3
173,7,38,51.171632,3
169,4,26,69.916162,3
156,-1,27,46.135402,2
168,4,20,13.222719,1
